ds,yhat,yhat_lower,yhat_upper
2014-04-04,53.57880277193868,-28.378751021334796,142.92780282324318
2014-04-05,105.2391093432925,10.291209309755557,189.61267476290632
2014-04-06,60.545186118635,-20.15239790604913,144.39807501411627
2014-04-07,33.49822828978752,-53.66927078195807,116.8685371420562
2014-04-08,32.677748536267146,-49.01085443616307,117.51215342452188
2014-04-09,59.022270221138,-18.012495777058177,148.45556127575549
2014-04-10,46.12982227719444,-31.8971489693122,130.45474062138635
2014-04-11,61.05644956777395,-20.088290763437122,142.1767696505805
2014-04-12,116.05124124024563,29.313667978412173,199.04964617182426
2014-04-13,74.453759872092,-3.2245099607395677,160.02851687798199
2014-04-14,50.19249449707593,-28.45223360065095,131.683908681993
2014-04-15,51.780913357175265,-31.995819416403798,132.91185771726046
